participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,12788,29,205,0.6098,0.0057,0.0
002,5223,24,127,0.622,0.0128,0.0
003,20685,35,278,0.554,0.004,0.0
004,3135,20,90,0.5333,0.017,0.0
005,23658,27,108,0.6111,0.0036,0.0
006,10764,18,59,0.5763,0.0012,0.0
007,17626,26,191,0.5288,0.0045,0.0
008,10462,24,125,0.576,0.0003,0.0
009,7418,34,197,0.6193,0.0082,0.0
010,29796,34,223,0.6368,0.0011,0.0
011,10975,24,127,0.5984,0.0255,0.0
012,6076,26,151,0.6623,0.011,0.0
013,31570,29,202,0.5396,0.0031,0.0
014,4191,21,93,0.6989,0.0557,0.0
015,11366,26,151,0.6026,0.0085,0.0
