participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,12788,9,52,0.5769,0.0011,0.0
002,5223,8,37,0.4595,0.0026,0.0
003,20685,9,41,0.4878,0.0003,0.0
004,3135,8,36,0.6667,0.0011,0.0
005,23658,10,41,0.7073,0.0004,0.0417
006,10764,9,40,0.45,0.0006,0.0
007,17626,10,61,0.4754,0.0013,0.0
008,10462,9,41,0.5366,0.0006,0.0
009,7418,10,50,0.6,0.0018,0.0
010,29796,9,52,0.6538,0.0002,0.0
011,10975,9,40,0.625,0.0511,0.125
012,6076,10,45,0.6222,0.0011,0.0
013,31570,6,21,0.5238,0.0002,0.0
014,4191,7,27,0.5926,0.0048,0.0
015,11366,10,43,0.6279,0.0009,0.0
