participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,6477,5,15,0.2667,0.0,0.0
002,2726,7,20,0.55,0.0,0.0
003,10398,5,16,0.25,0.0,0.0
004,1608,2,4,0.0,0.0,0.0
005,11849,6,19,0.3684,0.0,0.0
006,5560,2,4,0.0,0.0,0.0
007,8990,7,23,0.3043,0.0,0.0
008,5289,5,17,0.6471,0.0,0.0
009,3806,5,12,0.3333,0.0,0.0
010,14952,5,16,0.3125,0.0002,0.0
011,5543,2,4,0.0,0.0,0.0
012,3113,2,4,0.0,0.0,0.0
013,15789,5,12,0.5,0.0004,0.0
014,2113,5,11,0.6364,0.0016,0.0
015,5732,5,15,0.2,0.0006,0.0
