participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,6477,8,30,0.4667,0.0005,0.0
002,2726,9,33,0.4545,0.0073,0.0
003,10398,8,22,0.3182,0.0,0.0
004,1608,6,15,0.2667,0.0,0.0
005,11849,8,26,0.4615,0.0,0.0
006,5560,6,16,0.3125,0.0006,0.0
007,8990,8,30,0.4,0.0007,0.0
008,5289,8,21,0.381,0.0006,0.0
009,3806,8,32,0.375,0.0,0.0
010,14952,8,29,0.2414,0.0002,0.0
011,5543,8,33,0.2727,0.0036,0.0
012,3113,8,35,0.4,0.0032,0.0
013,15789,6,17,0.4706,0.0008,0.0
014,2113,7,17,0.5294,0.0095,0.0
015,5732,8,19,0.3158,0.0006,0.0
