participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,6477,22,119,0.5462,0.0072,0.0
002,2726,21,85,0.5529,0.0233,0.0
003,10398,32,196,0.4388,0.0026,0.0
004,1608,14,62,0.6774,0.0477,0.0
005,11849,23,79,0.6582,0.0031,0.0
006,5560,16,46,0.5652,0.0012,0.0
007,8990,25,122,0.5246,0.0078,0.0
008,5289,23,89,0.573,0.0013,0.0
009,3806,25,116,0.5431,0.0145,0.0
010,14952,32,173,0.6185,0.0011,0.0
011,5543,12,57,0.5614,0.012,0.0
012,3113,21,86,0.7093,0.0226,0.0
013,15789,17,92,0.5109,0.004,0.0
014,2113,14,51,0.6275,0.0205,0.0
015,5732,15,69,0.4493,0.0017,0.0
