participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,12788,69,408,0.7181,0.0373,0.0
002,5223,62,244,0.6762,0.0317,0.0
003,20685,90,586,0.6058,0.0118,0.0
004,3135,47,183,0.6885,0.0313,0.0
005,23658,57,192,0.7083,0.0047,0.0
006,10764,35,111,0.5946,0.0026,0.0
007,17626,76,422,0.628,0.0138,0.0
008,10462,67,258,0.6589,0.0048,0.0
009,7418,71,368,0.6875,0.0191,0.0
010,29796,94,440,0.7159,0.0038,0.0
011,10975,35,165,0.6485,0.0328,0.0
012,6076,66,259,0.7452,0.0215,0.0
013,31570,50,288,0.6181,0.0042,0.0
014,4191,33,117,0.735,0.0589,0.0
015,11366,44,225,0.6178,0.0109,0.0
