participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,12788,9,47,0.2766,0.0016,0.0
002,5223,6,26,0.2308,0.0038,0.0
003,20685,10,68,0.2647,0.0006,0.0
004,3135,6,27,0.3704,0.0053,0.0
005,23658,10,45,0.6667,0.0007,0.0
006,10764,7,21,0.4762,0.0,0.0
007,17626,8,40,0.225,0.0009,0.0
008,10462,7,29,0.2069,0.0,0.0
009,7418,10,53,0.4717,0.0014,0.0
010,29796,9,60,0.3,0.0,0.0
011,10975,8,36,0.5278,0.0027,0.0
012,6076,9,38,0.5,0.0005,0.0
013,31570,8,54,0.3148,0.0012,0.0
014,4191,6,34,0.5,0.0048,0.0
015,11366,9,48,0.4792,0.0021,0.0
